Region,Country,Site ID,Model,City,Location,WAN Prefix,Jira/Confluence name,ISP,ISPCkt ID,BW (Mb/s),MPLS provider,MPLSCkt ID,Rate,License Tier,EA,WAN2.0Installed by,SD-WAN migration,#Routers,RoutersSysIPs,Platform end of 2020,Stage 2/3Status,Comments,latitude,longitude,geohash
NAM,United States,306400103,Production,Memphis,"Jabil: 5238 Lamar Avenue Rd,Main 1 Telco:Memphis TN:USA",clc8,CLC8-Memphis,,,100,,,,1.0,X,,Hot swap,2.0,10.0.1.10510.0.1.106,ISR4331,DONE,,35.1490215,-90.0516285,9ypzy
NAM,United States,306400104,Production,Austin,"12455 Research Blvd Austin, Tx 78759",prod11,PROD11-Austin,,,,,,,1.0,,,SD-WAN native,2.0,10.0.1.10710.0.1.108,ISR4331,,,30.2711286,-97.7436995,9v6kp
NAS,Taiwan,506488601,Production,Dalin,"Chiayi FactoryNo46.,Yuanqu 1st Rd., Damei VilDalin Township, Chiayi Country 622Taiwan R.O.C",prod12,PROD12-Dalin,,,,,,,1.0,,,SD-WAN native,,10.8.86.10110.8.86.102,ISR4331,,,23.6008136,120.455979,wsjwm
NAS,Japan,506408101,Production,Nagasaki,"Nagasaki Canon Inc. Head Office: Orishikisego Aza-Tobise 925-1, Hasami-Cho Higashisonogi-Gun, Nagasaki",jphsm,JPHSM-Nagasaki,,,50 (C),,,,,,,,,,,,Decommissioned,33.1154683,129.7874339,wvuk3
EUR,Poland,106404801,Production,Kwidzyn,Jabil: Circuit Poland:ul.Milsona 32:82-500 Kwidzyn:Poland,plkw,PLKW-Kwidzyn,,,50 (C),,,,1.0,X,,Hot swap,2.0,10.0.48.10110.0.48.102,ISR4331,DONE,,53.7204653,18.937464130662192,u3t3w
NAM,Mexico,306405201,Production,Jesus Maria,Flextronics:Boulevrd a Zacatecas km 9.5:Jesus Maria: Aguascalientes 20900:Mexico,jmmx,JMMX-JesusMaria,,,100,,,,1.0,X,,Hot swap,2.0,10.0.52.10110.0.52.102,ISR4331,DONE,,21.4839,-99.7012721,9gc45
EUR,Poland,106404802,Production,Tczew,"Malinowska 28, 83-100 Tczew, Poland",pltcz,PROD10-Tczew,,,100 (C),,,,1.0,X,,Hot swap,2.0,10.0.48.10310.0.48.104,ISR4331,DONE,,54.09087615,18.77794352885673,u3t7e
EUR,Poland,106404803,Production,Sieradz,Partnertech:Wojska Polskiego 107:98-200 Sieradz:Poland,prod5,PROD5-Sieradz,,,,,,,,,,,,,,,Still on ASA - To be shutdown,51.6017529,18.739901469268844,u3jmd
EUR,Russia,106400701,Production,Tver,"In the vicinity of villiage Sadykovo:Burashevo rural settlement:170540 Kalinin District, Tver Region:Russia",prod8,TVRU-Tver,,,50 (C),,,,1.0,,,,2.0,10.0.7.10110.0.7.102,ISR4331,,Still on ASA - TBD if it will be migrated or not to SD-WAN - Decision deferred till Q22021,56.858675,35.9208284,uf1e3
EUR,Czech Republic,106442001,Production,Jirny,LGI Czechia S.R.O.Podebradska 601 25090:Jirny:Czech Republic,clc5,CLC5-Jirny,,,20 (T),,,,1.0,,,SD-WAN native,2.0,10.4.20.10110.4.20.102,ISR4331,,Still on ASA,50.1157768,14.6992298,u2fmn
NAS,China,506408601,Production,Suzhou,7bldg:Huang Pu Jiang Road:Suzhou:China,clc6,CLC6-Suzhou,,,50 (C),,,,1.0,,,,2.0,10.0.86.10110.0.86.102,ISR4331,,Still on ASA - TBD if it will be migrated or not to SD-WAN - Decision deferred till Q22021,31.3016935,120.5810725,wttdp
EUR,Ireland,109835355,vEdge Cloud (AWS),Dublin,AWS-IE-Dublin,,vedge-ie,,,10 (C),,,,1.0,X,,,1.0,10.3.53.200,vEdge Cloud,,,53.3497645,-6.2602732,gc7x9
NAM,USA,309800155,vEdge Cloud (AWS),US-East,AWS-US-East,,vedge-us-east,,,10 (C),,,,1.0,X,,,1.0,30.0.1.200,vEdge Cloud,,,18.3406643,-64.9675747,de3b3
SAP,Singapore,609806555,vEdge Cloud (AWS),Singapore,AWS-SG-Singapore,,vedge-sg,,,10 (C),,,,1.0,X,,,1.0,60.0.65.200,vEdge Cloud,,,1.357107,103.8194992,w21zd
